wavelength_nm,absorption
396,0.0211
397,0.0216
398,0.022
399,0.0224
400,0.023
401,0.0237
402,0.0245
403,0.025
404,0.0254
405,0.0258
406,0.0261
407,0.0264
408,0.0267
409,0.0271
410,0.0275
411,0.0281
412,0.0287
413,0.0294
414,0.0302
415,0.0309
416,0.0315
417,0.0322
418,0.0329
419,0.0336
420,0.0343
421,0.0348
422,0.0353
423,0.0358
424,0.0362
425,0.0367
426,0.0371
427,0.0375
428,0.0379
429,0.0384
430,0.0389
431,0.0394
432,0.04
433,0.0405
434,0.0411
435,0.0416
436,0.0421
437,0.0425
438,0.0428
439,0.0431
440,0.0431
441,0.0431
442,0.043
443,0.0427
444,0.0424
445,0.042
446,0.0415
447,0.041
448,0.0403
449,0.0396
450,0.0389
451,0.0383
452,0.0376
453,0.0368
454,0.036
455,0.0353
456,0.0347
457,0.0342
458,0.0337
459,0.0332
460,0.0328
461,0.0324
462,0.0321
463,0.0318
464,0.0315
465,0.0313
466,0.031
467,0.0308
468,0.0305
469,0.0303
470,0.03
471,0.0298
472,0.0295
473,0.0293
474,0.029
475,0.0288
476,0.0285
477,0.0282
478,0.0279
479,0.0276
480,0.0274
481,0.0272
482,0.0269
483,0.0268
484,0.0266
485,0.0264
486,0.0262
487,0.0261
488,0.026
489,0.0258
490,0.0257
491,0.0256
492,0.0255
493,0.0254
494,0.0252
495,0.025
496,0.0249
497,0.0247
498,0.0245
499,0.0242
500,0.0239
501,0.0236
502,0.0232
503,0.0228
504,0.0223
505,0.0219
506,0.0214
507,0.0209
508,0.0204
509,0.0198
510,0.0193
511,0.0187
512,0.0181
513,0.0174
514,0.0168
515,0.0163
516,0.0157
517,0.0151
518,0.0146
519,0.014
520,0.0135
521,0.0129
522,0.0124
523,0.0119
524,0.0114
525,0.0109
526,0.0104
527,0.01
528,0.0095
529,0.0091
530,0.0088
531,0.0084
532,0.008
533,0.0076
534,0.0073
535,0.0069
536,0.0066
537,0.0063
538,0.006
539,0.0057
540,0.0054
541,0.0051
542,0.0049
543,0.0046
544,0.0044
545,0.0041
546,0.0039
547,0.0038
548,0.0036
549,0.0034
550,0.0033
551,0.0032
552,0.0031
553,0.003
554,0.0028
555,0.0027
556,0.0027
557,0.0026
558,0.0025
559,0.0025
560,0.0024
561,0.0024
562,0.0023
563,0.0023
564,0.0022
565,0.0022
566,0.0021
567,0.002
568,0.002
569,0.0019
570,0.0018
571,0.0018
572,0.0018
573,0.0018
574,0.0019
575,0.0019
576,0.002
577,0.0021
578,0.0021
579,0.0022
580,0.0022
581,0.0023
582,0.0024
583,0.0025
584,0.0026
585,0.0027
586,0.0027
587,0.0028
588,0.0029
589,0.003
590,0.003
591,0.0031
592,0.0031
593,0.0031
594,0.0031
595,0.0031
596,0.003
597,0.003
598,0.0029
599,0.0028
600,0.0028
601,0.0028
602,0.0027
603,0.0027
604,0.0027
605,0.0028
606,0.0028
607,0.0029
608,0.003
609,0.0031
610,0.0032
611,0.0033
612,0.0035
613,0.0036
614,0.0038
615,0.0039
616,0.004
617,0.0041
618,0.0043
619,0.0044
620,0.0045
621,0.0046
622,0.0047
623,0.0047
624,0.0048
625,0.0049
626,0.0049
627,0.005
628,0.005
629,0.005
630,0.005
631,0.005
632,0.005
633,0.005
634,0.0049
635,0.0049
636,0.0048
637,0.0047
638,0.0046
639,0.0046
640,0.0045
641,0.0045
642,0.0044
643,0.0043
644,0.0043
645,0.0042
646,0.0042
647,0.0041
648,0.0042
649,0.0042
650,0.0043
651,0.0044
652,0.0046
653,0.0048
654,0.005
655,0.0052
656,0.0055
657,0.0058
658,0.0062
659,0.0066
660,0.0071
661,0.0076
662,0.0083
663,0.009
664,0.0096
665,0.0103
666,0.011
667,0.0118
668,0.0125
669,0.0134
670,0.0142
671,0.015
672,0.0157
673,0.0165
674,0.0173
675,0.018
676,0.0186
677,0.019
678,0.0194
679,0.0197
680,0.0198
681,0.0198
682,0.0197
683,0.0195
684,0.0191
685,0.0187
686,0.018
687,0.0174
688,0.0165
689,0.0158
690,0.0148
691,0.0137
692,0.0124
693,0.0112
694,0.01
695,0.009
696,0.0081
697,0.0072
698,0.0065
699,0.0059
700,0.0055
701,0.005
702,0.0046
703,0.0041
704,0.0036
