cell_diam_um,abundance_rel
1.4617252556070632,0.0722433460076044
1.5281574254812682,0.1760456273764259
1.5965822395690374,0.3079847908745244
1.646007460360269,0.3536121673003793
1.7022930687652371,0.4541825095057029
1.7550840668366474,0.6121673003802274
1.799161109042957,0.8250950570342224
1.849354991073496,0.9365019011406815
1.889193852236865,1.0
1.9324033099634563,0.8326996197718592
1.973762269748755,0.7072243346007593
2.013456972417456,0.5819011406844097
2.0427878911813795,0.4361216730038015
2.079916695180408,0.3650190114068438
2.115765233406676,0.2623574144486689
2.1524434937310875,0.1850570342205318
2.184028245978236,0.1558935361216726
2.209034125582931,0.1234980988593155
2.248271635267521,0.0684410646387832
2.2718910687638747,0.0456273764258554
2.303805654518682,0.0304182509505702
2.328030218260817,0.0190114068441064
2.3551120879743044,0.0190114068441064
2.38811208493149,0.0170114068441064
2.4138701321554223,0.0152091254752851
2.4359659016909205,0.0152091254752851
